,Species.sitecircrat,Settlers.105.,Wildlife.122.,Riparian.123.,Sedge.180.,Wet.Meadow,Sample.ID,Quad.circ,Sample.event,Count,m2,seeding_success,NSC,Wetland.Indicator,Annual.perennial.biennial,Forbes.grasses.sedge.rush.fern
212,sedge,67750.30517,67750.30517,67750.30517,69742.96121,67750.30517,North5,Quad,September,15,15,0.000221401,North,FAC,P,S
213,sedge,67750.30517,67750.30517,67750.30517,69742.96121,67750.30517,South1,Quad,October,2,2,2.95E-05,South,FAC,P,S
214,sedge,67750.30517,67750.30517,67750.30517,69742.96121,67750.30517,North4,Quad,September,1,1,1.48E-05,North,FAC,P,S
215,sedge,67750.30517,67750.30517,67750.30517,69742.96121,67750.30517,North1,Quad,July,2,2,2.95E-05,North,FAC,P,S
216,sensitive.fern,8895.785869,8895.785869,8895.785869,8895.785869,8895.785869,0,0,0,0,0,0,0,OBL,P ,Fe
217,showy.ticktrefoil,0,128.9888951,515.9555804,0,0,0,0,0,0,0,NA,0,FAC,P,F
218,smartweed,0,0,0,0,0,North1,Quad,September,11,11,NA,North,FACW,P,F
219,smartweed,0,0,0,0,0,North2,Quad,October,2,2,NA,North,FACW,P,F
220,spiderwort,0,0,0,0,0,South2,Quad,July,3,3,NA,South,FAC,P,F
221,spiderwort,0,0,0,0,0,South3,Quad,July,1,1,NA,South,FAC,P,F
222,square.stemmed.monkeyflower,41308.5701,33386.37857,33386.37857,36781.60351,33386.37857,0,0,0,0,0,0,0,OBL,P ,F
223,st.johns.wort,0,0,0,0,0,South3,Quad,July,2,2,NA,South,FACU,P,F
224,swamp.milkweed,1759.163401,1386.81348,1386.81348,1728.767489,1386.81348,0,0,0,0,0,0,0,OBL,P,F
225,switchgrass,0,10368.03843,41472.15372,0,0,North5,Quad,September,2,2,NA,North,FACU,P,G
226,switchgrass,0,10368.03843,41472.15372,0,0,North1,Quad,July,1,1,NA,North,FACU,P,G
227,tall.coneflower,1920.501327,993.3627553,993.3627553,993.3627553,993.3627553,North5,Quad,July,5,5,0.005033408,North,FAC,P,F
228,tall.coneflower,1920.501327,993.3627553,993.3627553,993.3627553,993.3627553,Contr5,Quad,September,1,1,0.001006682,Contr,FAC,P,F
229,tall.coneflower,1920.501327,993.3627553,993.3627553,993.3627553,993.3627553,South5,Quad,September,1,1,0.001006682,South,FAC,P,F
230,tall.coneflower,1920.501327,993.3627553,993.3627553,993.3627553,993.3627553,North4,Quad,October,12,12,0.012080179,North,FAC,P,F
231,tall.coneflower,1920.501327,993.3627553,993.3627553,993.3627553,993.3627553,South3,Quad,September,2,2,0.002013363,South,FAC,P,F
232,tall.coneflower,1920.501327,993.3627553,993.3627553,993.3627553,993.3627553,South5,Quad,October,3,3,0.003020045,South,FAC,P,F
233,tall.coneflower,1920.501327,993.3627553,993.3627553,993.3627553,993.3627553,North3,Quad,September,1,1,0.001006682,North,FAC,P,F
234,tall.coneflower,1920.501327,993.3627553,993.3627553,993.3627553,993.3627553,North4,Quad,September,5,5,0.005033408,North,FAC,P,F
235,tall.coneflower,1920.501327,993.3627553,993.3627553,993.3627553,993.3627553,North5,Quad,October,2,2,0.002013363,North,FAC,P,F
236,tall.coneflower,1920.501327,993.3627553,993.3627553,993.3627553,993.3627553,South1,Quad,July,4,4,0.004026726,South,FAC,P,F
237,tall.coneflower,38554.33595,28740.50498,48368.16692,29207.83027,22197.951,North5,Quad,July,5,5,0.000225246,North,FAC,P,F
238,tall.coneflower,38554.33595,28740.50498,48368.16692,29207.83027,22197.951,Contr5,Quad,September,1,1,4.50E-05,Contr,FAC,P,F
239,tall.coneflower,38554.33595,28740.50498,48368.16692,29207.83027,22197.951,South5,Quad,September,1,1,4.50E-05,South,FAC,P,F
240,tall.coneflower,38554.33595,28740.50498,48368.16692,29207.83027,22197.951,North4,Quad,October,12,12,0.00054059,North,FAC,P,F
241,tall.coneflower,38554.33595,28740.50498,48368.16692,29207.83027,22197.951,South3,Quad,September,2,2,9.01E-05,South,FAC,P,F
242,tall.coneflower,38554.33595,28740.50498,48368.16692,29207.83027,22197.951,South5,Quad,October,3,3,0.000135148,South,FAC,P,F
243,tall.coneflower,38554.33595,28740.50498,48368.16692,29207.83027,22197.951,North3,Quad,September,1,1,4.50E-05,North,FAC,P,F
244,tall.coneflower,38554.33595,28740.50498,48368.16692,29207.83027,22197.951,North4,Quad,September,5,5,0.000225246,North,FAC,P,F
245,tall.coneflower,38554.33595,28740.50498,48368.16692,29207.83027,22197.951,North5,Quad,October,2,2,9.01E-05,North,FAC,P,F
246,tall.coneflower,38554.33595,28740.50498,48368.16692,29207.83027,22197.951,South1,Quad,July,4,4,0.000180197,South,FAC,P,F
247,tall.coneflower,1277.87964,945.1772485,1534.967852,1020.791428,748.5803808,North5,Quad,July,5,5,0.006679309,North,FAC,P,F
248,tall.coneflower,1277.87964,945.1772485,1534.967852,1020.791428,748.5803808,Contr5,Quad,September,1,1,0.001335862,Contr,FAC,P,F
249,tall.coneflower,1277.87964,945.1772485,1534.967852,1020.791428,748.5803808,South5,Quad,September,1,1,0.001335862,South,FAC,P,F
250,tall.coneflower,1277.87964,945.1772485,1534.967852,1020.791428,748.5803808,North4,Quad,October,12,12,0.016030343,North,FAC,P,F
251,tall.coneflower,1277.87964,945.1772485,1534.967852,1020.791428,748.5803808,South3,Quad,September,2,2,0.002671724,South,FAC,P,F
252,tall.coneflower,1277.87964,945.1772485,1534.967852,1020.791428,748.5803808,South5,Quad,October,3,3,0.004007586,South,FAC,P,F
253,tall.coneflower,1277.87964,945.1772485,1534.967852,1020.791428,748.5803808,North3,Quad,September,1,1,0.001335862,North,FAC,P,F
254,tall.coneflower,1277.87964,945.1772485,1534.967852,1020.791428,748.5803808,North4,Quad,September,5,5,0.006679309,North,FAC,P,F
255,tall.coneflower,1277.87964,945.1772485,1534.967852,1020.791428,748.5803808,North5,Quad,October,2,2,0.002671724,North,FAC,P,F
256,tall.coneflower,1277.87964,945.1772485,1534.967852,1020.791428,748.5803808,South1,Quad,July,4,4,0.005343448,South,FAC,P,F
257,tall.white.beardtongue,9113.238412,4961.871673,4961.871673,5732.839782,4961.871673,South4,Quad,October,2,2,0.000403074,South,FAC,P,F
258,virginia.wildrye,15080.33389,12446.68706,18940.61075,12446.68706,10282.04583,North3,Quad,July,6,6,0.000583541,North,FACW,P,G
259,virginia.wildrye,15080.33389,12446.68706,18940.61075,12446.68706,10282.04583,South1,Quad,October,6,6,0.000583541,South,FACW,P,G
260,virginia.wildrye,15080.33389,12446.68706,18940.61075,12446.68706,10282.04583,South3,Quad,October,7,7,0.000680798,South,FACW,P,G
261,virginia.wildrye,15080.33389,12446.68706,18940.61075,12446.68706,10282.04583,South1,Quad,July,5,5,0.000486285,South,FACW,P,G
262,virginia.wildrye,15080.33389,12446.68706,18940.61075,12446.68706,10282.04583,South5,Quad,July,20,20,0.001945138,South,FACW,P,G
263,virginia.wildrye,15080.33389,12446.68706,18940.61075,12446.68706,10282.04583,South3,Quad,September,3,3,0.000291771,South,FACW,P,G
264,virginia.wildrye,15080.33389,12446.68706,18940.61075,12446.68706,10282.04583,North2,Quad,July,5,5,0.000486285,North,FACW,P,G
265,virginia.wildrye,15080.33389,12446.68706,18940.61075,12446.68706,10282.04583,South4,Quad,July,1,1,9.73E-05,South,FACW,P,G
266,virginia.wildrye,15080.33389,12446.68706,18940.61075,12446.68706,10282.04583,South4,Quad,October,17,17,0.001653367,South,FACW,P,G
267,virginia.wildrye,15080.33389,12446.68706,18940.61075,12446.68706,10282.04583,South1,Quad,September,19,19,0.001847881,South,FACW,P,G
268,white.goldenrod,1181.6816,611.2146207,611.2146207,611.2146207,611.2146207,0,0,0,0,0,0,0,FAC,P,F
269,wild.bergamot,3238.745595,2295.421636,3427.410387,2672.751219,1918.092052,South4,Quad,July,3,3,0.001564054,South,FAC,P,F
270,wild.senna,163.0894076,93.89996195,93.89996195,123.5525815,93.89996195,0,0,0,0,0,0,0,FACW,P,F
271,woolgrass,17791.57174,17791.57174,17791.57174,17791.57174,17791.57174,0,0,0,0,0,0,0,OBL,P,S
272,woolgrass,17791.57174,17791.57174,17791.57174,17791.57174,17791.57174,0,0,0,0,0,0,0,OBL,P,S
273,zigzag.aster,69.18944564,69.18944564,69.18944564,172.9736141,69.18944564,0,0,0,0,0,0,0,FACU,P,F
